"","불량","adress","contents","time","money","career","sex","age","education","employment","personnel","period","week","close","detail_adress","realtime"
"35",1,"전주시 전체","파스쿠찌중화산점파스쿠찌 중화산점에서 평일 점심 아르바이트생을 모집합니다","12:00~15:00","시급8,350","무관(신입+경력)","성별무관","21세(1999년생) ~ 27세(1993년생) 미성년자 불가","학력무관","아르바이트","1명","6개월~1년","주5일","2019년 5월 6일(월) ~ 2019년 5월 8일(수)
D-DAY 내일 ","전북 전주시 완산구 효자로 290<U+00A0>(중화산동2가) 770-1<U+00A0>전북 전주시 완산구 전체","3"
"36",1,"전주시 만성동","코다리밥상【 강력추천 】 경력홀서빙직원 및 홀아르바이트 모집","09:30~21:30 (로테이션)","시급9,000","무관(신입+경력)","성별무관","29세(1991년생) ~ 59세(1961년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","6개월~1년 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 7일(화) ~ 상시모집","전북 전주시 덕진구 정여립로 1083<U+00A0>JTV맞은편<U+00A0>전북 전주시 덕진구 만성동","12"
"37",1,"익산시 전체","(주)케이티에스글로벌(주)하림 익산공장 단기 아르바이트 모집","08:00~17:00","시급8,350","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트","18명","1개월~3개월","월~토","2019년 5월 7일(화) ~ 2019년 5월 11일(토)
D-DAY 4 ","전북 익산시 망성면 망성로 14<U+00A0>(어량리)<U+00A0>전북 익산시 전체","9"
"38",1,"전주시 효자동3","더본코리아 한신포차 전북도청점한신포차 도청점에서 홀아르바이트 구합니다.","20:00~06:00","시급8,400","무관(신입+경력)","성별무관","20세(2000년생) ~ 30세(1990년생) 미성년자 불가","고등학교 졸업 이상","아르바이트, 정규직, 계약직","00명 (100명 미만)","3개월~6개월 (기간협의가능)","주6일 (요일협의가능)","2019년 5월 6일(월) ~ 2019년 5월 26일(일)","전북 전주시 완산구 효자동3가<U+00A0>1536-2<U+00A0>전북 전주시 완산구 효자동3가","14"
"39",1,"전주시 덕진동1","제이제이모바일 전북대점[전주휴대폰1위제이제이모바일][전북가장큰기업형도소매대리","10:00~08:00","월급2,800,000","무관(신입+경력)","성별무관","20세(2000년생) ~ 28세(1992년생) 미성년자 불가","고등학교 졸업 이상","아르바이트, 정규직, 인턴직","3명","3개월~6개월","월~토","2019년 5월 1일(수) ~ 상시모집","전북 전주시 덕진구 기린대로 475<U+00A0>제이제이모바일3호점<U+00A0>전북 전주시 덕진구 덕진동1가","2"
"40",1,"전주시 서노송동","LB휴넷[고정급186만/즉시입사] LGU+ 유선상품 정보변경, 요금문의 ","09:00~18:00","월급2,500,000","무관(신입+경력)","성별무관","연령무관 ","학력무관","정규직","00명 (100명 미만)","1년이상 (수습기간있음)","월~금","2019년 5월 7일(화) ~ 2019년 5월 20일(월)","전북 전주시 완산구 기린대로 213<U+00A0>(대우빌딩)<U+00A0>전북 전주시 완산구 서노송동","9"
"41",1,"전주시 효자동3","123막창전주효자점123막창 전주효자점에서 홀 파트타임 모집합니다.","18:00~22:00","시급8,500","무관(신입+경력)","성별무관","20세(2000년생) ~ 40세(1980년생) 미성년자 불가","학력무관","아르바이트, 정규직","0명 (10명 미만)","6개월~1년","주6일 (요일협의가능)","2019년 5월 6일(월) ~ 상시모집","전북 전주시 완산구 홍산북로 45-18<U+00A0>(효자동3가)<U+00A0>전북 전주시 완산구 효자동3가","4"
"42",1,"전주시 평화동1","NO.1로지스(주)CJ 대한통운 택배 상.하차 물류 인원 모집","20:00~07:20","일급130,000","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 파견직","00명 (100명 미만)","1년이상","월~일","2019년 5월 7일(화) ~ 상시모집","전북 전주시 완산구 구이로 1838<U+00A0>33<U+00A0>전북 전주시 완산구 평화동1가","13.33"
"43",1,"익산시 영등동","빽다방 익산영등제일점빽다방 익산영등제일점 알바 모집합니다.(주말)","19:30~22:30","시급8,350","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년","주말","2019년 5월 4일(토) ~ 상시모집","전북 익산시 영등동 766-2<U+00A0>빽다방 익산영등제일점<U+00A0>전북 익산시 영등동","3"
"44",1,"익산시 영등동","빽다방 익산영등제일점빽다방 익산영등제일점 알바 모집합니다.","17:00~22:30","시급8,350","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년","주말","2019년 5월 4일(토) ~ 상시모집","전북 익산시 영등동 766-2<U+00A0>빽다방 익산영등제일점<U+00A0>전북 익산시 영등동","5.5"
