"1","익산시 모현동1","돈걱정 그만 / 행복은 돈으로 부터[月평균급여 500만] 아직도 돈걱정만 하고 계신가요 / 이젠 ","08:00~18:00","월급4,500,000","48분전","무관(신입+경력)","성별무관","24세(1996년생) ~ 59세(1961년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","2명","1년이상 (수습기간있음)","월~토","2019년 5월 9일(목) ~ 2019년 5월 16일(목)
D-DAY 7 ","전북 익산시 인북로 226-7<U+00A0>초보/여성/외국인/동반지원가능<U+00A0>전북 익산시 모현동1가"
"1","군산시 수송동","돈걱정 그만 / 행복은 돈으로 부터[月평균급여 500만] 아직도 돈걱정만 하고 계신가요 / 이젠 ","08:00~18:00","월급4,500,000","49분전","무관(신입+경력)","성별무관","24세(1996년생) ~ 59세(1961년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","2명","1년이상 (수습기간있음)","월~토","2019년 5월 9일(목) ~ 2019년 5월 16일(목)
D-DAY 7 ","전북 군산시 시청로 17<U+00A0>초보/여성/외국인/동반지원가능<U+00A0>전북 군산시 수송동"
"1","전주시 전체","(주)동아로지스CJ대한통운 대기업 소화물품 배송 월500이상 초보/여성/면허","08:00~18:00","월급5,000,000","51분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 계약직, 위촉직(프리랜서)","5명","1년이상 (기간협의가능)","월~토","2019년 5월 9일(목) ~ 2019년 5월 29일(수)","거주지 인근 물류센터<U+00A0>대리점에서 배차진행<U+00A0>전북 전주시 덕진구 전체"
"1","군산시 전체","(주)동아로지스CJ대한통운 대기업 소화물품 배송 월500이상 초보/여성/면허","08:00~18:00","월급5,000,000","51분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 계약직, 위촉직(프리랜서)","5명","1년이상 (기간협의가능)","월~토","2019년 5월 9일(목) ~ 2019년 5월 29일(수)","거주지 인근 물류센터<U+00A0>대리점에서 배차진행<U+00A0>전북 군산시 전체"
"1","김제시 전체","(주)동아로지스CJ대한통운 대기업 소화물품 배송 월500이상 초보/여성/면허","08:00~18:00","월급5,000,000","51분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 계약직, 위촉직(프리랜서)","5명","1년이상 (기간협의가능)","월~토","2019년 5월 9일(목) ~ 2019년 5월 29일(수)","거주지 인근 물류센터<U+00A0>대리점에서 배차진행<U+00A0>전북 김제시 전체"
"1","익산시 전체","(주)동아로지스CJ대한통운 대기업 소화물품 배송 월500이상 초보/여성/면허","08:00~18:00","월급5,000,000","51분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 계약직, 위촉직(프리랜서)","5명","1년이상 (기간협의가능)","월~토","2019년 5월 9일(목) ~ 2019년 5월 29일(수)","거주지 인근 물류센터<U+00A0>대리점에서 배차진행<U+00A0>전북 익산시 전체"
"1","전주시 전체","(주)동아로지스CJ대한통운 대기업 소화물품 배송 월500이상 초보/여성/면허","08:00~18:00","월급5,000,000","51분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 계약직, 위촉직(프리랜서)","5명","1년이상 (기간협의가능)","월~토","2019년 5월 9일(목) ~ 2019년 5월 29일(수)","거주지 인근 물류센터<U+00A0>대리점에서 배차진행<U+00A0>전북 전주시 완산구 전체"
"1","전주시 동산동","[단순배송직][동반,여성,외국인가능]【 최적화자리 배정 / 고소득보장 / 신입&경력모집 】","07:30~17:00","월급5,000,000","52분전","무관(신입+경력)","성별무관","연령무관  고연령자 가능","학력무관","계약직, 위촉직(프리랜서)","00명 (100명 미만)","1년이상 (수습기간있음)","월~토 (요일협의가능 : 월,토요일 오전근무)","2019년 5월 9일(목) ~ 상시모집","거주지역 인근 물류센터<U+00A0>초보가능/대학휴학생가능/외국인가능/친구와함께 지원가능<U+00A0>전북 전주시 덕진구 동산동"
"1","군산시 수송동","[단순배송직][동반,여성,외국인가능]【 최적화자리 배정 / 고소득보장 / 신입&경력모집 】","07:30~17:00","월급5,000,000","52분전","무관(신입+경력)","성별무관","연령무관  고연령자 가능","학력무관","계약직, 위촉직(프리랜서)","00명 (100명 미만)","1년이상 (수습기간있음)","월~토 (요일협의가능 : 월,토요일 오전근무)","2019년 5월 9일(목) ~ 상시모집","거주지역 인근 물류센터<U+00A0>초보가능/대학휴학생가능/외국인가능/친구와함께 지원가능<U+00A0>전북 군산시 수송동"
"1","전주시 서신동","[단순배송직][동반,여성,외국인가능]【 최적화자리 배정 / 고소득보장 / 신입&경력모집 】","07:30~17:00","월급5,000,000","52분전","무관(신입+경력)","성별무관","연령무관  고연령자 가능","학력무관","계약직, 위촉직(프리랜서)","00명 (100명 미만)","1년이상 (수습기간있음)","월~토 (요일협의가능 : 월,토요일 오전근무)","2019년 5월 9일(목) ~ 상시모집","거주지역 인근 물류센터<U+00A0>초보가능/대학휴학생가능/외국인가능/친구와함께 지원가능<U+00A0>전북 전주시 완산구 서신동"
"1","군산시 수송동","나이키골프 군산점나이키골프 군산점 매니저모집합니다.","10:00~21:00","월급2,000,000","53분전","경력(2년 이상)","여자","35세(1985년생) ~ 49세(1971년생) 미성년자 불가","고등학교 졸업 이상","정규직","1명","1년이상","주6일","2019년 5월 9일(목) ~ 2019년 5월 19일(일)","전라북도 군산시 월명로 167<U+00A0>1층 (수송동)<U+00A0>전북 군산시 수송동"
"1","전주시 송천동1","웅진씽크빅 송천남부지국송천동   동산동  공부방교사를  모집합니다.","15:00~20:00","월급1,200,000","55분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월~금","2019년 5월 7일(화) ~ 2019년 5월 27일(월)","전북 전주시 덕진구 시천로 35<U+00A0>용진빌딩 2층 웅진씽크빅<U+00A0>전북 전주시 덕진구 송천동1가"
"1","군산시 전체","(주) 씨아이 로지스남,여 홈쇼핑 택배 ( 상,하차,중분류,소화물 ) 현금 최고단가","19:00~07:20","일급120,000","55분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직","20명","1개월~3개월","월~금 (요일협의가능)","2019년 5월 8일(수) ~ 상시모집","CJ 대한통운 터미널<U+00A0>123<U+00A0>전북 군산시 전체"
"1","전주시 동산동","5kg미만소화물/여성/초보자가능[고수익]소화물택배배송사원(긴급채용)초보자/여성/동반입사","07:00~18:00","월급5,000,000","56분전","무관(신입+경력)","성별무관","23세(1997년생) ~ 61세(1959년생) 고연령자 가능 미성년자 불가","학력무관","정규직, 계약직","5명","6개월~1년","월~토","2019년 5월 9일(목) ~ 상시모집","희망지역근무가능<U+00A0>희망지역근무가능<U+00A0>전북 전주시 덕진구 동산동"
"1","익산시 영등동","2종오토가능 -5kg미만소화물배송【지입X】대기업-5kg소화물택배배송사원(교포/초보자/여성/동","07:00~18:00","월급4,500,000","56분전","무관(신입+경력)","성별무관","23세(1997년생) ~ 60세(1960년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직, 위촉직(프리랜서)","3명","1년이상","월~토","2019년 5월 9일(목) ~ 상시모집","#익산시 1개동배정#<U+00A0>거주지인근배정<U+00A0>전북 익산시 영등동"
"1","전주시 전체","풀무원녹즙 전주완산가맹점풀무원녹즙 모닝스텝(여성) 모집","08:10~11:00","월급700,000","57분전","무관(신입+경력)","여자","30세(1990년생) ~ 50세(1970년생) 미성년자 불가","학력무관","위촉직(프리랜서)","1명","1년이상","월~금","2019년 5월 6일(월) ~ 2019년 5월 13일(월)
D-DAY 4 ","전북 전주시 완산구 인정1길 5<U+00A0>풀무원녹즙<U+00A0>전북 전주시 완산구 전체"
"1","전주시 서노송동","인바운드/최고복리[lgu+ 정규직/주5일] 전주시청/면접비지급","09:00~18:00","월급2,500,000","58분전","무관(신입+경력)","성별무관","연령무관 ","고등학교 졸업 이상","정규직","00명 (100명 미만)","1년이상","월~금","2019년 5월 8일(수) ~ 2019년 5월 17일(금)","전북 전주시 완산구 기린대로 213<U+00A0>(대우빌딩)<U+00A0>전북 전주시 완산구 서노송동"
"1","익산시 모현동1","SK매직 익산지국SK매직 익산지국 MC(매직케어)모집","09:00~18:00","건별2,700,000","59분전","무관(신입+경력)","성별무관","25세(1995년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상","월~토(토요일 격주휴무)","2019년 5월 7일(화) ~ 상시모집","전북 익산시 배산로 161<U+00A0>(이레빌딩)<U+00A0>전북 익산시 모현동1가"
"1","전주시 송천동2","GK(구 가구코리아)[GK 배송·및 설치,A/S직원구함] 40세이하,1종보통면허소지자","08:30~19:00","월급2,150,000","59분전","무관(신입+경력)","남자","20세(2000년생) ~ 40세(1980년생) 미성년자 불가","학력무관","정규직","0명 (10명 미만)","1년이상 (수습기간있음, 기간협의가능)","월~토","2019년 4월 16일(화) ~ 2019년 5월 16일(목)
D-DAY 7 ","전북 전주시 덕진구 동부대로 989<U+00A0>GK(구 가구코리아)<U+00A0>전북 전주시 덕진구 송천동2가"
"1","전주시 전체","KB의특별한혜택I육아걱정끝10시-3시여성추천]자동차재계약갱신/고객센터인바운드상담/평균3-500","09:30~15:00","월급3,000,000","59분전","무관(신입+경력)","여자","28세(1992년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 위촉직(프리랜서)","00명 (100명 미만)","1년이상","월~금","2019년 5월 8일(수) ~ 상시모집","전북 전주시 완산구 홍산로 158<U+00A0>한국토지주택공사 전북본부<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","(주)에이치알사람인꿀.꿀알바/봉동/물품피킹업무/일급78,000원/통근버스운행(전","10:00~19:00","일급78,000","1시간전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 계약직","2명","3개월~6개월","주5일","2019년 5월 7일(화) ~ 상시모집","전북 완주군 봉동읍 완주산단2로 282-21<U+00A0>에이치알사람인<U+00A0>전북 전주시 덕진구 전체"
